ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene names
ENSRNOG00000000158,Cdo1,399.0690348,4.849724918,0.111887766,43.34455029,0.0,0.0,
ENSRNOG00000000172,Sqor,1645.577881,3.587780336,0.059454591,60.34488271,0.0,0.0,
ENSRNOG00000000299,Foxo3,937.7740146,3.230518991,0.117081789,27.59198513,1.39e-167,5.03e-166,
ENSRNOG00000000302,Sesn1,764.7201501,3.708396848,0.077611605,47.78147379,0.0,0.0,
ENSRNOG00000000413,unkown,679.4262146,3.009968724,0.099211434,30.33892964,3.52e-202,1.6700000000000002e-200,
ENSRNOG00000000566,Pcbd1,195.6529517,2.29200417,0.164706287,13.9157054,5.09e-44,4.6600000000000004e-43,
ENSRNOG00000000572,Chst3,1669.197533,2.436481294,0.094460701,25.79359749,1.05e-146,3.15e-145,
ENSRNOG00000000704,Cmklr1,1565.34994,3.300235052,0.073543399,44.87466029,0.0,0.0,
ENSRNOG00000000781,Rnf39,59.71192216,3.77717339,0.25947353,14.55706633,5.27e-48,5.19e-47,
ENSRNOG00000000825,Calhm5,143.3754578,3.344377946,0.152790796,21.8886087,3.34e-106,6.94e-105,
ENSRNOG00000000897,Rxfp2,28.66265162,2.719429053,0.375019942,7.251425187,4.12e-13,1.64e-12,
ENSRNOG00000000906,Medag,1506.460832,2.617131045,0.060331981,43.37883475,0.0,0.0,
ENSRNOG00000000907,Alox5ap,88.53131786,2.912355847,0.212917685,13.67831823,1.37e-42,1.22e-41,
ENSRNOG00000000956,Rasl11a,146.6434691,3.865556091,0.169091242,22.86077064,1.14e-115,2.6e-114,
ENSRNOG00000001030,Tsc22d1,7945.460324,2.149368181,0.045762082,46.96832186,0.0,0.0,
ENSRNOG00000001227,Adarb1,1961.099795,3.106180922,0.107226056,28.96852731,1.64e-184,6.8e-183,
ENSRNOG00000001242,Gstt3,24.67635695,2.23806214,0.313331596,7.142791118,9.15e-13,3.59e-12,
ENSRNOG00000001261,Ftcd,20.98485607,2.1489683,0.384397967,5.590477794,2.26e-08,7.08e-08,
ENSRNOG00000001271,Card6,7.05955479,2.018899154,0.578575972,3.489427924,0.000484056,0.001087857,
ENSRNOG00000001376,Mettl7a,538.5213798,3.165489901,0.080791408,39.18102181,0.0,0.0,
ENSRNOG00000001404,Agfg2,444.2201831,2.565123486,0.085597191,29.96737911,2.61e-197,1.21e-195,
ENSRNOG00000001414,Serpine1,147721.2224,2.086601596,0.055457197,37.62544261,0.0,0.0,
ENSRNOG00000001506,Tmem35a,646.1496706,2.291833938,0.082148726,27.89859389,2.77e-171,1.0300000000000001e-169,
ENSRNOG00000001516,Rapgef4,480.6019155,3.463977723,0.127442484,27.18071419,1.1000000000000001e-162,3.85e-161,
ENSRNOG00000001607,Adamts1,15688.16172,3.356867553,0.058547576,57.33572193,0.0,0.0,
ENSRNOG00000001627,Abi3bp,1199.005988,3.253736715,0.118087451,27.55361959,4e-167,1.45e-165,
ENSRNOG00000001629,Get1,898.6039963,2.476256978,0.084714148,29.23073701,7.89e-188,3.38e-186,
ENSRNOG00000001728,Fam43a,150.4411053,2.455978303,0.165096044,14.87605787,4.710000000000001e-50,4.83e-49,
ENSRNOG00000001770,Ehhadh,39.42768125,2.699454161,0.273743715,9.861246173,6.129999999999999e-23,3.44e-22,
ENSRNOG00000001792,Slc12a8,5.280482455,2.416149223,0.715804114,3.375433552,0.000736995,0.001623268,
ENSRNOG00000001804,Itpr2,186.2240357,2.073506613,0.212772118,9.745198911,1.9300000000000001e-22,1.07e-21,
ENSRNOG00000001926,Cldn1,91.4188346,6.502265805,0.340633424,19.08874861,3.1299999999999997e-81,4.91e-80,
ENSRNOG00000001982,Cblb,3078.71941,2.174290066,0.091044652,23.88157906,4.7599999999999996e-126,1.2000000000000002e-124,
ENSRNOG00000001989,Alcam,3695.105854,2.060444722,0.054193336,38.02026,0.0,0.0,
ENSRNOG00000002050,Igfbp7,12659.71926,2.91468339,0.089427067,32.59285445,5.18e-233,2.93e-231,
ENSRNOG00000002057,Slc10a6,102.4058753,8.807393269,0.661984318,13.30453461,2.18e-40,1.88e-39,
ENSRNOG00000002097,Rasl11b,2413.14462,3.845647867,0.055042459,69.86693489,0.0,0.0,
ENSRNOG00000002188,Hpse,15.98115745,2.472339899,0.396272281,6.238992781,4.4e-10,1.52e-09,
ENSRNOG00000002208,Shroom3,55.59971132,4.716471223,0.36594202,12.88857516,5.22e-38,4.29e-37,
ENSRNOG00000002210,Hsd17b11,1253.813204,2.005540046,0.059532615,33.68808911,8.64e-249,5.3400000000000006e-247,
ENSRNOG00000002212,Hsd17b13,9.324391859,2.55028829,0.615139718,4.145868354,3.39e-05,8.46e-05,
ENSRNOG00000002215,Mylk,979.0109179,4.259868617,0.093775282,45.42634841,0.0,0.0,
ENSRNOG00000002256,Art3,27.20905796,5.90834942,0.553174865,10.68079877,1.25e-26,7.830000000000001e-26,
ENSRNOG00000002291,Brwd3,379.5231726,2.082118443,0.178077218,11.69222244,1.4000000000000002e-31,9.91e-31,
ENSRNOG00000002385,Prg4,143.4334132,5.965202626,0.252033865,23.66825832,7.66e-124,1.86e-122,
